Month,MonthClaimed,Sex,Fault,PolicyType,PolicyNumber,Deductible,AddressChange_Claim,BasePolicy,FraudFound_P
Sep,Oct,Male,Third Party,Sedan - Collision,14681,400,no change,Collision,0
Sep,Sep,Male,Third Party,Sedan - All Perils,14682,400,no change,All Perils,0
Jul,Jul,Male,Third Party,Sedan - All Perils,14683,400,no change,All Perils,0
Jul,Jul,Male,Policy Holder,Sedan - Collision,14684,400,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,14685,400,no change,Collision,0
Sep,Sep,Male,Policy Holder,Sedan - Collision,14686,400,no change,Collision,1
Mar,Mar,Female,Third Party,Sedan - Collision,14687,400,no change,Collision,0
Apr,Apr,Male,Third Party,Sedan - Collision,14688,400,no change,Collision,0
Apr,Apr,Male,Third Party,Sedan - All Perils,14689,500,2 to 3 years,All Perils,0
Sep,Oct,Male,Third Party,Sedan - Collision,14690,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,14691,400,no change,Liability,0
Dec,Dec,Male,Third Party,Sedan - Collision,14692,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - All Perils,14693,400,no change,All Perils,0
Apr,Apr,Male,Third Party,Sedan - All Perils,14694,400,no change,All Perils,0
Jun,Jun,Male,Policy Holder,Sedan - Collision,14695,400,no change,Collision,0
Apr,May,Male,Policy Holder,Sedan - Collision,14696,400,no change,Collision,0
Jul,Jul,Male,Policy Holder,Sedan - All Perils,14697,400,no change,All Perils,0
Jul,Aug,Male,Policy Holder,Sedan - All Perils,14698,400,no change,All Perils,0
Nov,Nov,Male,Policy Holder,Sedan - All Perils,14699,400,no change,All Perils,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,14700,400,no change,Collision,0
Oct,Oct,Female,Policy Holder,Sedan - Collision,14701,400,4 to 8 years,Collision,0
Jul,Jul,Male,Policy Holder,Sedan - Liability,14702,400,no change,Liability,0
Nov,Dec,Male,Policy Holder,Sedan - Collision,14703,400,no change,Collision,0
Dec,Dec,Female,Policy Holder,Sedan - Liability,14704,400,no change,Liability,0
Sep,Sep,Male,Third Party,Sedan - All Perils,14705,400,no change,All Perils,0
Sep,Sep,Female,Third Party,Sedan - Liability,14706,400,no change,Liability,0
Sep,Sep,Male,Policy Holder,Sedan - Collision,14707,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - Collision,14708,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - Collision,14709,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - Collision,14710,400,no change,Collision,0
Dec,Dec,Male,Third Party,Sedan - All Perils,14711,400,no change,All Perils,0
Sep,Nov,Male,Policy Holder,Sedan - Liability,14712,400,no change,Liability,0
Nov,Nov,Male,Third Party,Sedan - All Perils,14713,400,no change,All Perils,0
Aug,Sep,Male,Policy Holder,Sedan - All Perils,14714,400,no change,All Perils,0
Aug,Aug,Male,Policy Holder,Sedan - Liability,14715,400,no change,Liability,0
Jul,Jul,Male,Policy Holder,Sedan - Collision,14716,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - Liability,14717,400,no change,Liability,0
Mar,Mar,Male,Policy Holder,Sedan - All Perils,14718,400,no change,All Perils,0
Jan,Jan,Male,Policy Holder,Sedan - All Perils,14719,400,no change,All Perils,0
Aug,Aug,Male,Policy Holder,Utility - All Perils,14720,400,no change,All Perils,0
Sep,Sep,Male,Policy Holder,Sedan - Collision,14721,400,no change,Collision,0
Sep,Sep,Male,Policy Holder,Sedan - Collision,14722,400,4 to 8 years,Collision,0
Jan,Feb,Male,Policy Holder,Sedan - Liability,14723,400,no change,Liability,0
Mar,Apr,Male,Third Party,Sedan - Collision,14724,400,no change,Collision,0
Sep,Nov,Male,Third Party,Sedan - Collision,14725,400,no change,Collision,0
Sep,Sep,Male,Policy Holder,Sedan - Collision,14726,700,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - Collision,14727,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - All Perils,14728,400,no change,All Perils,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,14729,400,no change,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,14730,400,no change,Collision,0
Nov,Dec,Male,Policy Holder,Sedan - Collision,14731,400,no change,Collision,0
Oct,Nov,Male,Policy Holder,Sedan - Liability,14732,400,no change,Liability,0
Sep,Sep,Male,Policy Holder,Sedan - Collision,14733,400,no change,Collision,0
Aug,Aug,Female,Third Party,Sedan - Liability,14734,400,no change,Liability,0
Jun,Jul,Male,Policy Holder,Sedan - All Perils,14735,400,no change,All Perils,0
May,May,Male,Third Party,Sedan - All Perils,14736,400,no change,All Perils,0
Sep,Sep,Male,Third Party,Sedan - Collision,14737,400,no change,Collision,0
Mar,May,Male,Policy Holder,Utility - All Perils,14738,400,no change,All Perils,0
Mar,Mar,Male,Policy Holder,Sedan - All Perils,14739,400,no change,All Perils,0
Jan,Mar,Male,Third Party,Sedan - Liability,14740,500,2 to 3 years,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,14741,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,14742,400,no change,Collision,0
Dec,Dec,Female,Third Party,Sedan - Collision,14743,400,1 year,Collision,0
Oct,Oct,Male,Third Party,Sedan - All Perils,14744,400,no change,All Perils,0
Sep,Oct,Male,Policy Holder,Sedan - Liability,14745,400,no change,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,14746,400,no change,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - All Perils,14747,400,no change,All Perils,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,14748,400,no change,Liability,0
Feb,Feb,Male,Third Party,Sedan - Collision,14749,400,no change,Collision,0
Feb,Feb,Male,Policy Holder,Sedan - Liability,14750,400,no change,Liability,0
Sep,Sep,Male,Policy Holder,Sedan - Collision,14751,400,no change,Collision,1
Mar,Mar,Female,Policy Holder,Sedan - Liability,14752,400,no change,Liability,0
May,May,Male,Policy Holder,Sedan - Collision,14753,400,no change,Collision,0
Aug,Aug,Male,Third Party,Sedan - Collision,14754,400,no change,Collision,0
Aug,Aug,Male,Policy Holder,Sedan - Collision,14755,400,no change,Collision,0
Sep,Sep,Male,Third Party,Sedan - All Perils,14756,400,no change,All Perils,0
Dec,Dec,Female,Policy Holder,Sedan - All Perils,14757,700,no change,All Perils,0
Dec,Dec,Male,Policy Holder,Sedan - All Perils,14758,400,no change,All Perils,0
Dec,Dec,Male,Policy Holder,Utility - All Perils,14759,400,no change,All Perils,0
Feb,Feb,Male,Policy Holder,Sedan - Liability,14760,400,no change,Liability,0
May,Jun,Male,Policy Holder,Sedan - Collision,14761,400,no change,Collision,0
Jul,Jul,Female,Policy Holder,Sedan - Liability,14762,400,no change,Liability,0
Aug,Aug,Male,Policy Holder,Sedan - Collision,14763,400,no change,Collision,0
Aug,Sep,Male,Policy Holder,Sedan - Collision,14764,400,4 to 8 years,Collision,0
Nov,Dec,Male,Policy Holder,Sedan - Collision,14765,400,no change,Collision,0
Nov,Dec,Male,Policy Holder,Sedan - Collision,14766,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,14767,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - All Perils,14768,400,no change,All Perils,0
Dec,Dec,Male,Third Party,Sedan - All Perils,14769,400,no change,All Perils,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,14770,400,no change,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,14771,400,no change,Collision,0
Dec,Dec,Female,Third Party,Sedan - Collision,14772,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,14773,400,no change,Collision,0
Sep,Oct,Male,Policy Holder,Sport - Collision,14774,400,no change,Collision,0
Sep,Sep,Male,Policy Holder,Sedan - Liability,14775,400,no change,Liability,0
Aug,Sep,Male,Policy Holder,Sedan - All Perils,14776,400,no change,All Perils,0
Aug,Sep,Male,Third Party,Sedan - Liability,14777,400,no change,Liability,0
Sep,Oct,Male,Third Party,Sedan - All Perils,14778,400,no change,All Perils,0
Jul,Jul,Male,Policy Holder,Sedan - Liability,14779,400,no change,Liability,0
Jun,Jun,Female,Policy Holder,Sedan - Collision,14780,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - All Perils,14781,400,no change,All Perils,0
Jan,Feb,Male,Policy Holder,Sedan - Collision,14782,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - All Perils,14783,400,no change,All Perils,0
Dec,Dec,Male,Policy Holder,Sedan - All Perils,14784,400,no change,All Perils,0
Sep,Sep,Male,Third Party,Sedan - All Perils,14785,400,4 to 8 years,All Perils,0
Dec,Dec,Male,Third Party,Sedan - All Perils,14786,400,no change,All Perils,0
Nov,Dec,Male,Policy Holder,Sedan - Liability,14787,400,no change,Liability,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,14788,700,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - Liability,14789,400,no change,Liability,0
Sep,Sep,Male,Policy Holder,Sedan - Liability,14790,400,no change,Liability,0
Sep,Sep,Male,Policy Holder,Sedan - Liability,14791,500,2 to 3 years,Liability,0
Sep,Sep,Male,Third Party,Sedan - All Perils,14792,400,no change,All Perils,0
Sep,Sep,Male,Policy Holder,Sedan - Liability,14793,400,no change,Liability,0
Sep,Sep,Male,Policy Holder,Sedan - Collision,14794,400,no change,Collision,0
Aug,Sep,Male,Policy Holder,Sedan - All Perils,14795,400,no change,All Perils,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,14796,400,no change,Liability,0
Sep,Oct,Male,Third Party,Sedan - Collision,14797,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,14798,400,no change,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - Collision,14799,400,no change,Collision,0
May,May,Male,Third Party,Sedan - All Perils,14800,400,no change,All Perils,0
Mar,Mar,Male,Policy Holder,Sedan - Liability,14801,400,no change,Liability,0
Sep,Oct,Male,Third Party,Sedan - Liability,14802,400,no change,Liability,0
Dec,Jan,Male,Policy Holder,Sedan - Collision,14803,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,14804,400,no change,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,14805,400,no change,Liability,0
Dec,Dec,Female,Policy Holder,Sedan - Liability,14806,400,4 to 8 years,Liability,0
Sep,Sep,Male,Policy Holder,Sedan - Collision,14807,400,no change,Collision,0
Sep,Sep,Male,Policy Holder,Sedan - Collision,14808,400,no change,Collision,1
Mar,Mar,Male,Policy Holder,Sedan - Collision,14809,400,no change,Collision,0
Mar,Mar,Male,Third Party,Sedan - All Perils,14810,400,no change,All Perils,0
Mar,Apr,Male,Policy Holder,Sedan - All Perils,14811,400,no change,All Perils,0
Sep,Oct,Male,Third Party,Sedan - All Perils,14812,400,no change,All Perils,0
Sep,Sep,Male,Policy Holder,Sedan - Liability,14813,400,no change,Liability,0
Aug,Aug,Male,Third Party,Sedan - Collision,14814,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,14815,400,no change,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - All Perils,14816,400,no change,All Perils,0
Feb,Feb,Male,Third Party,Sedan - Collision,14817,400,no change,Collision,0
Sep,Sep,Male,Third Party,Sedan - Liability,14818,400,no change,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,14819,700,no change,Liability,0
Oct,Oct,Male,Third Party,Sedan - All Perils,14820,400,no change,All Perils,0
Feb,Feb,Male,Third Party,Sedan - All Perils,14821,400,no change,All Perils,0
Sep,Oct,Male,Policy Holder,Sedan - Collision,14822,400,no change,Collision,1
Mar,Apr,Male,Policy Holder,Sedan - Collision,14823,400,no change,Collision,0
Feb,Mar,Female,Policy Holder,Sedan - Liability,14824,400,no change,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - Collision,14825,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - All Perils,14826,400,no change,All Perils,0
Aug,Aug,Male,Third Party,Sedan - Collision,14827,400,4 to 8 years,Collision,0
Jul,Jul,Male,Policy Holder,Sedan - Collision,14828,400,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - Liability,14829,400,no change,Liability,0
Oct,Oct,Female,Policy Holder,Sedan - Collision,14830,400,no change,Collision,0
Dec,Jan,Female,Policy Holder,Sedan - Collision,14831,400,no change,Collision,0
Dec,Dec,Male,Third Party,Sedan - Collision,14832,400,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,14833,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - All Perils,14834,400,1 year,All Perils,0
Mar,May,Male,Policy Holder,Sedan - Collision,14835,400,no change,Collision,0
Oct,Nov,Female,Third Party,Sedan - Collision,14836,400,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - Liability,14837,400,no change,Liability,0
Sep,Oct,Male,Policy Holder,Sedan - Collision,14838,400,no change,Collision,0
Sep,Sep,Male,Third Party,Sedan - Liability,14839,400,no change,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,14840,400,no change,Collision,0
Apr,Apr,Male,Third Party,Sedan - Collision,14841,400,no change,Collision,0
May,May,Female,Policy Holder,Sedan - Liability,14842,400,2 to 3 years,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - All Perils,14843,400,no change,All Perils,0
May,Jun,Male,Policy Holder,Sedan - Liability,14844,400,no change,Liability,0
Jul,Jul,Male,Third Party,Sedan - All Perils,14845,400,no change,All Perils,0
Jun,Jun,Male,Policy Holder,Sedan - Collision,14846,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - All Perils,14847,400,no change,All Perils,0
Aug,Aug,Male,Policy Holder,Sedan - Collision,14848,400,4 to 8 years,Collision,0
Aug,Aug,Female,Third Party,Sedan - All Perils,14849,400,no change,All Perils,0
Aug,Aug,Female,Policy Holder,Sedan - Liability,14850,400,no change,Liability,0
Sep,Sep,Male,Policy Holder,Sedan - All Perils,14851,400,no change,All Perils,0
Sep,Sep,Male,Third Party,Sedan - Collision,14852,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - Liability,14853,400,no change,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,14854,400,no change,Liability,0
Dec,Dec,Male,Third Party,Sedan - Collision,14855,400,no change,Collision,0
Dec,Dec,Female,Policy Holder,Sedan - Liability,14856,400,no change,Liability,0
Dec,Dec,Male,Third Party,Sedan - Collision,14857,400,no change,Collision,0
Apr,May,Male,Policy Holder,Utility - All Perils,14858,400,no change,All Perils,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,14859,400,no change,Liability,0
Apr,May,Male,Policy Holder,Sedan - Liability,14860,400,no change,Liability,0
Apr,May,Male,Policy Holder,Sedan - All Perils,14861,400,no change,All Perils,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,14862,400,no change,Collision,0
Oct,Dec,Female,Third Party,Sedan - Liability,14863,400,no change,Liability,0
Nov,Dec,Male,Third Party,Sedan - Liability,14864,400,no change,Liability,0
Oct,Oct,Male,Policy Holder,Sedan - Collision,14865,400,no change,Collision,0
Oct,Oct,Male,Third Party,Sedan - Collision,14866,400,no change,Collision,0
Jul,Aug,Male,Third Party,Sedan - All Perils,14867,400,no change,All Perils,0
Jun,Jul,Male,Policy Holder,Sedan - Liability,14868,400,no change,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,14869,400,4 to 8 years,Liability,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,14870,400,no change,Collision,0
Nov,Dec,Male,Third Party,Sedan - All Perils,14871,400,no change,All Perils,0
Sep,Oct,Male,Policy Holder,Sedan - Liability,14872,400,no change,Liability,0
May,Jun,Male,Policy Holder,Sedan - Liability,14873,400,no change,Liability,0
May,May,Male,Policy Holder,Sedan - Liability,14874,400,no change,Liability,0
May,May,Male,Policy Holder,Sedan - Liability,14875,400,no change,Liability,0
Oct,Oct,Male,Policy Holder,Sedan - Collision,14876,400,no change,Collision,1
Oct,Oct,Male,Policy Holder,Sedan - Collision,14877,400,no change,Collision,1
May,May,Male,Third Party,Sedan - Collision,14878,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - All Perils,14879,400,no change,All Perils,0
Jun,Jun,Male,Third Party,Sedan - All Perils,14880,400,no change,All Perils,0
Nov,Nov,Male,Policy Holder,Sedan - Liability,14881,400,no change,Liability,0
Dec,Dec,Male,Third Party,Sedan - Collision,14882,400,no change,Collision,0
Oct,Oct,Male,Third Party,Sedan - Collision,14883,400,no change,Collision,0
Sep,Sep,Male,Policy Holder,Sedan - Collision,14884,400,no change,Collision,0
Sep,Sep,Male,Policy Holder,Sedan - Collision,14885,400,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - Liability,14886,400,no change,Liability,0
Aug,Aug,Male,Policy Holder,Sedan - All Perils,14887,400,no change,All Perils,0
Aug,Aug,Male,Third Party,Sedan - All Perils,14888,400,no change,All Perils,0
Jul,Jul,Male,Third Party,Sedan - Collision,14889,400,no change,Collision,0
Apr,Apr,Male,Third Party,Sedan - All Perils,14890,400,4 to 8 years,All Perils,0
Sep,Sep,Female,Policy Holder,Sedan - Collision,14891,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - Collision,14892,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - Liability,14893,500,2 to 3 years,Liability,0
May,May,Male,Policy Holder,Sedan - All Perils,14894,400,no change,All Perils,0
Jul,Jul,Male,Third Party,Sedan - All Perils,14895,400,no change,All Perils,0
Jul,Nov,Male,Policy Holder,Sedan - Collision,14896,400,no change,Collision,0
Oct,Oct,Male,Third Party,Sedan - Collision,14897,400,no change,Collision,0
Oct,Nov,Male,Policy Holder,Sedan - All Perils,14898,400,no change,All Perils,0
Dec,Dec,Male,Third Party,Sedan - Collision,14899,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - Liability,14900,400,no change,Liability,0
May,May,Male,Policy Holder,Sedan - Collision,14901,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - Collision,14902,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - Liability,14903,400,no change,Liability,0
May,May,Male,Policy Holder,Sedan - Collision,14904,400,no change,Collision,0
Sep,Sep,Male,Policy Holder,Sedan - Liability,14905,400,no change,Liability,0
Oct,Oct,Male,Policy Holder,Sedan - Collision,14906,400,no change,Collision,1
Dec,Dec,Male,Policy Holder,Sedan - All Perils,14907,400,no change,All Perils,0
Dec,Dec,Male,Third Party,Sedan - Collision,14908,400,no change,Collision,0
Oct,Oct,Male,Third Party,Sedan - All Perils,14909,400,no change,All Perils,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,14910,400,no change,Liability,0
Nov,Nov,Female,Third Party,Sedan - All Perils,14911,400,4 to 8 years,All Perils,0
Oct,Dec,Male,Policy Holder,Sedan - All Perils,14912,400,no change,All Perils,0
Sep,Sep,Female,Policy Holder,Sedan - Collision,14913,400,no change,Collision,0
Sep,Sep,Male,Third Party,Sedan - Liability,14914,400,no change,Liability,0
Sep,Sep,Male,Third Party,Sedan - All Perils,14915,400,no change,All Perils,0
Jun,Jun,Male,Third Party,Sedan - Collision,14916,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - All Perils,14917,400,no change,All Perils,0
May,May,Male,Policy Holder,Sedan - Collision,14918,400,no change,Collision,0
Dec,Jan,Male,Policy Holder,Sedan - All Perils,14919,400,no change,All Perils,0
Oct,Oct,Female,Third Party,Sedan - Liability,14920,400,no change,Liability,0
Oct,Nov,Male,Policy Holder,Sedan - Collision,14921,400,no change,Collision,0
Sep,Sep,Male,Third Party,Sedan - Collision,14922,400,no change,Collision,0
Sep,Sep,Female,Third Party,Sedan - Liability,14923,400,no change,Liability,0
Aug,Aug,Male,Policy Holder,Sedan - Collision,14924,400,no change,Collision,0
Jul,Jul,Female,Policy Holder,Sedan - Liability,14925,400,1 year,Liability,0
Jul,Aug,Female,Policy Holder,Sedan - All Perils,14926,400,no change,All Perils,0
Jul,Jul,Male,Policy Holder,Sedan - Collision,14927,400,no change,Collision,0
Oct,Oct,Male,Third Party,Sedan - Collision,14928,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - Collision,14929,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - Collision,14930,400,no change,Collision,0
May,May,Male,Third Party,Sedan - All Perils,14931,400,no change,All Perils,0
Apr,Apr,Male,Policy Holder,Sedan - All Perils,14932,400,4 to 8 years,All Perils,0
Oct,Oct,Male,Third Party,Sedan - Collision,14933,400,no change,Collision,0
Oct,Oct,Female,Policy Holder,Sedan - Liability,14934,400,no change,Liability,0
Sep,Sep,Male,Third Party,Sedan - All Perils,14935,400,no change,All Perils,0
Apr,May,Male,Policy Holder,Sedan - Collision,14936,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - All Perils,14937,400,no change,All Perils,0
Apr,Apr,Male,Policy Holder,Sedan - All Perils,14938,400,no change,All Perils,0
Jul,Aug,Male,Policy Holder,Sedan - Liability,14939,400,no change,Liability,0
Oct,Nov,Male,Third Party,Sedan - All Perils,14940,400,no change,All Perils,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,14941,400,no change,Liability,0
Jan,Jan,Female,Policy Holder,Sedan - Collision,14942,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - Collision,14943,400,no change,Collision,1
Nov,Nov,Male,Policy Holder,Sedan - Collision,14944,300,2 to 3 years,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,14945,400,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - Liability,14946,400,no change,Liability,0
Feb,May,Female,Policy Holder,Sedan - Collision,14947,400,no change,Collision,0
Jun,Jun,Male,Third Party,Sedan - Liability,14948,400,no change,Liability,0
Oct,Oct,Male,Third Party,Sedan - Collision,14949,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - Liability,14950,400,no change,Liability,0
May,May,Male,Policy Holder,Sedan - Collision,14951,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - Collision,14952,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Utility - All Perils,14953,400,4 to 8 years,All Perils,0
Oct,Oct,Male,Third Party,Sedan - Collision,14954,400,no change,Collision,0
Dec,Jan,Male,Policy Holder,Sedan - Collision,14955,400,no change,Collision,0
Dec,Jan,Male,Policy Holder,Sedan - Liability,14956,400,no change,Liability,0
Apr,Apr,Male,Third Party,Sedan - All Perils,14957,400,no change,All Perils,0
Jul,Jul,Male,Policy Holder,Sedan - Collision,14958,400,no change,Collision,0
Oct,Oct,Male,Third Party,Sedan - Collision,14959,400,no change,Collision,0
Jul,Jul,Female,Policy Holder,Sedan - Liability,14960,400,no change,Liability,0
Dec,Jan,Male,Third Party,Sedan - Collision,14961,400,no change,Collision,0
Jan,Feb,Male,Policy Holder,Sedan - All Perils,14962,400,no change,All Perils,0
May,Jun,Male,Policy Holder,Sedan - Collision,14963,400,no change,Collision,0
May,May,Male,Third Party,Sedan - All Perils,14964,400,no change,All Perils,0
May,May,Male,Third Party,Sedan - Liability,14965,400,no change,Liability,0
Aug,Aug,Male,Policy Holder,Sedan - Collision,14966,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,14967,400,no change,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,14968,400,no change,Liability,0
Sep,Sep,Male,Third Party,Sedan - Collision,14969,400,no change,Collision,0
Oct,Oct,Male,Third Party,Sedan - Collision,14970,400,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - Liability,14971,400,no change,Liability,0
Sep,Sep,Female,Third Party,Sedan - Collision,14972,400,no change,Collision,0
Oct,Oct,Male,Third Party,Sedan - All Perils,14973,400,no change,All Perils,0
Dec,Jan,Female,Third Party,Sedan - Collision,14974,700,4 to 8 years,Collision,0
Dec,Jan,Male,Policy Holder,Sedan - Collision,14975,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,14976,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - Liability,14977,400,no change,Liability,0
May,May,Male,Policy Holder,Sedan - Collision,14978,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - Collision,14979,400,no change,Collision,1
Aug,Aug,Male,Policy Holder,Sedan - Collision,14980,400,no change,Collision,0
Aug,Sep,Male,Policy Holder,Sedan - Liability,14981,400,no change,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,14982,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,14983,400,no change,Liability,0
Dec,Dec,Male,Policy Holder,Sport - Collision,14984,400,no change,Collision,0
Sep,Sep,Male,Policy Holder,Sedan - Collision,14985,400,no change,Collision,0
Sep,Sep,Male,Third Party,Sedan - Collision,14986,400,no change,Collision,0
Sep,Sep,Female,Policy Holder,Sedan - Liability,14987,400,no change,Liability,0
Aug,Aug,Male,Policy Holder,Sedan - Liability,14988,400,no change,Liability,0
Jul,Jul,Male,Policy Holder,Sedan - Collision,14989,400,no change,Collision,0
May,May,Female,Policy Holder,Sedan - Liability,14990,400,no change,Liability,0
Dec,Dec,Male,Third Party,Sedan - All Perils,14991,400,no change,All Perils,0
Dec,Dec,Female,Policy Holder,Sedan - Liability,14992,400,no change,Liability,0
Dec,Jan,Female,Policy Holder,Sedan - Liability,14993,400,no change,Liability,0
Mar,Mar,Female,Policy Holder,Sedan - Liability,14994,400,no change,Liability,0
Mar,Mar,Female,Policy Holder,Sedan - Liability,14995,500,2 to 3 years,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,14996,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,14997,400,no change,Liability,0
Oct,Oct,Male,Policy Holder,Sedan - All Perils,14998,400,no change,All Perils,1
Oct,Oct,Male,Third Party,Sedan - All Perils,14999,400,no change,All Perils,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,15000,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,15001,400,no change,Liability,0
Oct,Oct,Female,Policy Holder,Sedan - Liability,15002,400,no change,Liability,0
Nov,Dec,Male,Policy Holder,Sedan - Liability,15003,400,no change,Liability,0
Nov,Nov,Female,Third Party,Sedan - Liability,15004,400,no change,Liability,0
Jul,Jul,Male,Policy Holder,Sedan - Liability,15005,700,no change,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,15006,400,no change,Liability,0
Apr,Apr,Female,Policy Holder,Sedan - Liability,15007,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - Collision,15008,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - Liability,15009,400,no change,Liability,0
Oct,Oct,Female,Third Party,Sedan - All Perils,15010,400,no change,All Perils,0
Oct,Oct,Male,Third Party,Sedan - Collision,15011,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - Liability,15012,400,no change,Liability,1
Jun,Jun,Male,Policy Holder,Sedan - Liability,15013,400,no change,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - All Perils,15014,400,no change,All Perils,0
Apr,May,Male,Policy Holder,Sedan - Collision,15015,400,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,15016,400,1 year,Collision,0
Aug,Aug,Male,Third Party,Sedan - Collision,15017,400,no change,Collision,0
Jul,Jul,Male,Third Party,Sedan - Collision,15018,400,no change,Collision,0
Jun,Jun,Male,Third Party,Sedan - Liability,15019,400,no change,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - Collision,15020,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Collision,15021,400,no change,Collision,0
